permission,occurrences,frontend_sources,backend_sources,sql_sources,alignment_status
hr:employee:edit,17,erp-ui/src/views/hr/completeness/components/HrMasterDataIssues.vue:136 | erp-ui/src/views/hr/components/HrEmployeeList.vue:189 | erp-ui/src/views/hr/components/HrProfileDetailDrawer.vue:39 | erp-ui/src/views/mobile/hr/employee/index.vue:26,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrEmployeeProfileController.java:102 | erp-modules/erp-system/src/main/java/com/erp/system/controller/HrEmployeeProfileController.java:64 | erp-modules/erp-system/src/main/java/com/erp/system/controller/HrEmployeeProfileController.java:71 | erp-modules/erp-system/src/main/java/com/erp/system/controller/HrEmployeeProfileController.java:86 | erp-modules/erp-system/src/main/java/com/erp/system/controller/HrEmployeeProfileController.java:94 | erp-modules/erp-system/src/main/java/com/erp/system/service/impl/SysTodoServiceImpl.java:110 | erp-modules/erp-system/src/main/java/com/erp/system/service/impl/SysTodoServiceImpl.java:112 | erp-modules/erp-system/src/main/java/com/erp/system/service/impl/SysTodoServiceImpl.java:114 | erp-modules/erp-system/src/main/java/com/erp/system/service/impl/SysTodoServiceImpl.java:614,sql/erp_hr_employee_edit_permission_20260709.sql:20 | sql/erp_hr_employee_edit_permission_20260709.sql:39 | sql/erp_hr_personnel_management_20260708.sql:236 | sql/erp_user_hr_onboarding_20260710.sql:296,待核验
hr:employee:export,4,erp-ui/src/views/hr/components/HrEmployeeList.vue:15,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrEmployeeProfileController.java:183,sql/erp_hr_personnel_management_20260708.sql:237 | sql/erp_user_hr_onboarding_20260710.sql:297,待核验
hr:employee:export:sensitive,2,,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrEmployeeProfileController.java:204,sql/erp_user_hr_onboarding_20260710.sql:299,待核验
hr:employee:list,16,erp-ui/src/views/hr/completeness/index.vue:151 | erp-ui/src/views/mobile/mobileRouteDefinitions.js:154,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrEmployeeProfileController.java:45 | erp-modules/erp-system/src/main/java/com/erp/system/controller/HrEmployeeProfileController.java:55 | erp-modules/erp-system/src/main/java/com/erp/system/service/impl/SysTodoServiceImpl.java:110 | erp-modules/erp-system/src/main/java/com/erp/system/service/impl/SysTodoServiceImpl.java:114 | erp-modules/erp-system/src/main/java/com/erp/system/service/impl/SysTodoServiceImpl.java:116,sql/erp_hr_employee_edit_permission_20260709.sql:28 | sql/erp_hr_health_certificate_20260713.sql:152 | sql/erp_hr_health_certificate_20260713.sql:53 | sql/erp_hr_offboarding_automation_20260713.sql:13 | sql/erp_hr_personnel_management_20260708.sql:206 | sql/erp_hr_team_permission_20260713.sql:12 | sql/erp_hr_team_permission_20260713.sql:71 | sql/erp_hr_transfer_effective_date_20260713.sql:28 | sql/erp_user_hr_onboarding_20260710.sql:289,待核验
hr:employee:offboard,10,erp-ui/src/views/hr/components/HrEmployeeList.vue:205 | erp-ui/src/views/hr/components/HrProfileDetailDrawer.vue:41,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrEmployeeProfileController.java:159 | erp-modules/erp-system/src/main/java/com/erp/system/controller/HrEmployeeProfileController.java:168,sql/erp_hr_offboarding_automation_20260713.sql:11 | sql/erp_hr_offboarding_automation_20260713.sql:15 | sql/erp_hr_offboarding_automation_20260713.sql:30 | sql/erp_hr_offboarding_automation_20260713.sql:40 | sql/erp_oa_sign_menu_permission_repair_20260716.sql:702 | sql/erp_oa_sign_menu_permission_repair_20260716.sql:88,待核验
hr:employee:query,9,erp-ui/src/views/hr/completeness/index.vue:151 | erp-ui/src/views/hr/components/HrEmployeeList.vue:207 | erp-ui/src/views/hr/onboarding/index.vue:293 | erp-ui/src/views/mobile/hr/onboarding/detail.vue:401,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrEmployeeProfileController.java:60 | erp-modules/erp-system/src/main/java/com/erp/system/controller/HrEmployeeProfileController.java:76 | erp-modules/erp-system/src/main/java/com/erp/system/controller/HrEmployeeProfileController.java:80,sql/erp_hr_personnel_management_20260708.sql:234 | sql/erp_user_hr_onboarding_20260710.sql:294,待核验
hr:employee:regularize,1,,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrEmployeeProfileController.java:124,,待核验
hr:employee:renewal,1,,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrEmployeeProfileController.java:109,,待核验
hr:employee:sensitive:view,3,erp-ui/src/views/hr/components/HrSensitiveFieldValue.vue:9,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrEmployeeProfileController.java:193,sql/erp_user_hr_onboarding_20260710.sql:298,待核验
hr:employee:transfer,12,erp-ui/src/views/hr/components/HrEmployeeList.vue:197 | erp-ui/src/views/hr/components/HrProfileDetailDrawer.vue:40,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrEmployeeProfileController.java:137 | erp-modules/erp-system/src/main/java/com/erp/system/controller/HrEmployeeProfileController.java:146,sql/erp_hr_transfer_effective_date_20260713.sql:103 | sql/erp_hr_transfer_effective_date_20260713.sql:26 | sql/erp_hr_transfer_effective_date_20260713.sql:30 | sql/erp_hr_transfer_effective_date_20260713.sql:47 | sql/erp_hr_transfer_effective_date_20260713.sql:57 | sql/erp_hr_transfer_effective_date_20260713.sql:82 | sql/erp_oa_sign_menu_permission_repair_20260716.sql:662 | sql/erp_oa_sign_menu_permission_repair_20260716.sql:80,待核验
hr:export:missing,1,,,sql/erp_hr_personnel_management_20260708.sql:245,待核验
hr:export:profile,1,,,sql/erp_hr_personnel_management_20260708.sql:238,待核验
hr:import:confirm,4,erp-ui/src/views/hr/components/HrEmployeeList.vue:13,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrEmployeeProfileController.java:232,sql/erp_hr_personnel_management_20260708.sql:243 | sql/erp_user_hr_onboarding_20260710.sql:312,待核验
hr:import:preview,3,,,sql/erp_hr_personnel_management_20260708.sql:212 | sql/erp_hr_personnel_management_20260708.sql:242 | sql/erp_user_hr_onboarding_20260710.sql:311,待核验
hr:import:template,4,erp-ui/src/views/hr/components/HrEmployeeList.vue:14,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrEmployeeProfileController.java:243,sql/erp_hr_personnel_management_20260708.sql:244 | sql/erp_user_hr_onboarding_20260710.sql:313,待核验
hr:onboarding:add,8,erp-ui/src/views/hr/onboarding/index.vue:38 | erp-ui/src/views/hr/onboarding/index.vue:9 | erp-ui/src/views/mobile/hr/index.vue:116 | erp-ui/src/views/mobile/hr/onboarding/index.vue:230 | erp-ui/src/views/mobile/mobileRouteDefinitions.js:76,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingController.java:62 | erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingController.java:70,sql/erp_user_hr_onboarding_20260710.sql:302,待核验
hr:onboarding:cancel,5,erp-ui/src/views/hr/onboarding/onboardingFieldConfig.js:20 | erp-ui/src/views/mobile/hr/onboarding/detail.vue:185,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingController.java:126,sql/erp_hr_personnel_management_20260708.sql:240 | sql/erp_user_hr_onboarding_20260710.sql:307,待核验
hr:onboarding:config,13,erp-ui/src/views/hr/completeness/components/HrMasterDataIssues.vue:137 | erp-ui/src/views/hr/completeness/index.vue:153 | erp-ui/src/views/hr/positionConfig/index.vue:29 | erp-ui/src/views/hr/positionConfig/index.vue:30 | erp-ui/src/views/hr/positionConfig/index.vue:5 | erp-ui/src/views/hr/positionConfig/index.vue:81,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingPositionConfigController.java:33 | erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingPositionConfigController.java:43 | erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingPositionConfigController.java:47 | erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingPositionConfigController.java:55 | erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingPositionConfigController.java:63 | erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingPositionConfigController.java:72,sql/erp_user_hr_onboarding_20260710.sql:293,待核验
hr:onboarding:confirm,9,erp-ui/src/views/hr/onboarding/components/HrOnboardingDetailPane.vue:172 | erp-ui/src/views/hr/onboarding/onboardingFieldConfig.js:19 | erp-ui/src/views/mobile/hr/onboarding/detail.vue:184,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingController.java:83 | erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingController.java:90 | erp-modules/erp-system/src/main/java/com/erp/system/service/impl/SysTodoServiceImpl.java:112 | erp-modules/erp-system/src/main/java/com/erp/system/service/impl/SysTodoServiceImpl.java:610,sql/erp_hr_personnel_management_20260708.sql:239 | sql/erp_user_hr_onboarding_20260710.sql:306,待核验
hr:onboarding:edit,6,erp-ui/src/views/hr/onboarding/onboardingFieldConfig.js:16 | erp-ui/src/views/mobile/hr/onboarding/detail.vue:181 | erp-ui/src/views/mobile/mobileRouteDefinitions.js:91,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingController.java:62 | erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingController.java:99,sql/erp_user_hr_onboarding_20260710.sql:303,待核验
hr:onboarding:import:confirm,3,erp-ui/src/views/hr/onboarding/components/HrOnboardingImportDialog.vue:178,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingImportController.java:44,sql/erp_user_hr_onboarding_20260710.sql:309,待核验
hr:onboarding:import:preview,8,erp-ui/src/views/hr/importExport/index.vue:15 | erp-ui/src/views/hr/onboarding/components/HrOnboardingImportDialog.vue:33 | erp-ui/src/views/hr/onboarding/components/HrOnboardingImportDialog.vue:52 | erp-ui/src/views/hr/onboarding/index.vue:6,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingImportController.java:28 | erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingImportController.java:37 | erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingImportController.java:62,sql/erp_user_hr_onboarding_20260710.sql:292,待核验
hr:onboarding:import:template,3,erp-ui/src/views/hr/onboarding/components/HrOnboardingImportDialog.vue:42,erp-modules/erp-system/src/main/java/com/erp/system/controller/HrOnboardingImportController.java:53,sql/erp_user_hr_onboarding_20260710.sql:310,待核验
