permission,occurrences,frontend_sources,backend_sources,sql_sources,alignment_status
inv:gift:list,11,erp-ui/src/views/inventory/gift/index.vue:129 | erp-ui/src/views/inventory/gift/index.vue:72 | erp-ui/src/views/inventory/gift/index.vue:96 | erp-ui/src/views/mobile/mobileNavigation.js:26,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvGiftController.java:35,sql/erp_database_drift_repair_20260709.sql:317 | sql/erp_database_drift_repair_20260709.sql:318 | sql/erp_database_drift_repair_20260709.sql:331 | sql/erp_database_drift_repair_20260709.sql:380 | sql/erp_inventory_oe_gift_management_20260706.sql:144 | sql/erp_inventory_oe_gift_management_20260706.sql:148,待核验
inv:gift:query,5,erp-ui/src/views/inventory/gift/index.vue:165,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvGiftController.java:44,sql/erp_database_drift_repair_20260709.sql:357 | sql/erp_database_drift_repair_20260709.sql:380 | sql/erp_inventory_oe_gift_management_20260706.sql:187,待核验
inv:gift:remove,5,erp-ui/src/views/inventory/gift/index.vue:167,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvGiftController.java:69,sql/erp_database_drift_repair_20260709.sql:360 | sql/erp_database_drift_repair_20260709.sql:381 | sql/erp_inventory_oe_gift_management_20260706.sql:190,待核验
inv:gift:template,4,,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvGiftController.java:101,sql/erp_database_drift_repair_20260709.sql:363 | sql/erp_database_drift_repair_20260709.sql:381 | sql/erp_inventory_oe_gift_management_20260706.sql:193,待核验
inv:oe:add,6,erp-ui/src/views/inventory/oe/index.vue:261 | erp-ui/src/views/inventory/oe/index.vue:73,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvOeController.java:51,sql/erp_database_drift_repair_20260709.sql:346 | sql/erp_database_drift_repair_20260709.sql:376 | sql/erp_inventory_oe_gift_management_20260706.sql:176,待核验
inv:oe:edit,6,erp-ui/src/views/inventory/oe/index.vue:164 | erp-ui/src/views/inventory/oe/index.vue:261,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvOeController.java:60,sql/erp_database_drift_repair_20260709.sql:347 | sql/erp_database_drift_repair_20260709.sql:376 | sql/erp_inventory_oe_gift_management_20260706.sql:177,待核验
inv:oe:export,6,erp-ui/src/views/inventory/oe/index.vue:76 | erp-ui/src/views/mobile/feature/mobileExportConfigs.js:7,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvOeController.java:79,sql/erp_database_drift_repair_20260709.sql:350 | sql/erp_database_drift_repair_20260709.sql:377 | sql/erp_inventory_oe_gift_management_20260706.sql:180,待核验
inv:oe:import,7,erp-ui/src/views/inventory/oe/index.vue:280 | erp-ui/src/views/inventory/oe/index.vue:74 | erp-ui/src/views/inventory/oe/index.vue:75,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvOeController.java:89,sql/erp_database_drift_repair_20260709.sql:349 | sql/erp_database_drift_repair_20260709.sql:377 | sql/erp_inventory_oe_gift_management_20260706.sql:179,待核验
inv:oe:list,11,erp-ui/src/views/inventory/oe/index.vue:129 | erp-ui/src/views/inventory/oe/index.vue:72 | erp-ui/src/views/inventory/oe/index.vue:96 | erp-ui/src/views/mobile/mobileNavigation.js:25,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvOeController.java:35,sql/erp_database_drift_repair_20260709.sql:303 | sql/erp_database_drift_repair_20260709.sql:304 | sql/erp_database_drift_repair_20260709.sql:324 | sql/erp_database_drift_repair_20260709.sql:376 | sql/erp_inventory_oe_gift_management_20260706.sql:140 | sql/erp_inventory_oe_gift_management_20260706.sql:146,待核验
inv:oe:query,5,erp-ui/src/views/inventory/oe/index.vue:163,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvOeController.java:44,sql/erp_database_drift_repair_20260709.sql:345 | sql/erp_database_drift_repair_20260709.sql:376 | sql/erp_inventory_oe_gift_management_20260706.sql:175,待核验
inv:oe:remove,5,erp-ui/src/views/inventory/oe/index.vue:165,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvOeController.java:69,sql/erp_database_drift_repair_20260709.sql:348 | sql/erp_database_drift_repair_20260709.sql:377 | sql/erp_inventory_oe_gift_management_20260706.sql:178,待核验
inv:oe:template,4,,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvOeController.java:101,sql/erp_database_drift_repair_20260709.sql:351 | sql/erp_database_drift_repair_20260709.sql:377 | sql/erp_inventory_oe_gift_management_20260706.sql:181,待核验
inv:product:add,4,erp-ui/src/views/inventory/product/index.vue:461 | erp-ui/src/views/inventory/product/index.vue:603 | erp-ui/src/views/inventory/product/index.vue:85,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvProductController.java:63,,待核验
inv:product:edit,4,erp-ui/src/views/inventory/product/index.vue:164 | erp-ui/src/views/inventory/product/index.vue:461 | erp-ui/src/views/inventory/product/index.vue:603,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvProductController.java:76,,待核验
inv:product:export,3,erp-ui/src/views/inventory/product/index.vue:87 | erp-ui/src/views/mobile/feature/mobileExportConfigs.js:6,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvProductController.java:101,,待核验
inv:product:import,5,erp-ui/src/views/inventory/product/index.vue:496 | erp-ui/src/views/inventory/product/index.vue:86 | erp-ui/src/views/inventory/product/index.vue:88,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvProductController.java:110,sql/erp_inventory_permission_alignment_20260613.sql:14,待核验
inv:product:list,14,erp-ui/src/views/inventory/product/index.vue:104 | erp-ui/src/views/inventory/product/index.vue:83 | erp-ui/src/views/mobile/components/MobileWorkbenchShell.vue:267 | erp-ui/src/views/mobile/components/MobileWorkbenchShell.vue:280 | erp-ui/src/views/mobile/mobileNavigation.js:24,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvMobileController.java:24 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvProductController.java:42 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvMobileServiceImpl.java:33 | erp-modules/erp-system/src/main/java/com/erp/system/service/FrontendFeatureCatalog.java:83,sql/erp_multi_account_store_audit_remediation_20260620.sql:7 | sql/erp_product_category_tree_permission_20260628.sql:7 | sql/erp_product_category_tree_permission_20260628.sql:76 | sql/erp_ux_p0_permission_hardening_20260613.sql:172 | sql/erp_ux_p0_permission_hardening_20260613.sql:6,待核验
inv:product:query,7,erp-ui/src/views/inventory/product/index.vue:163,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvProductController.java:53,sql/erp_ux_p0_permission_hardening_20260613.sql:106 | sql/erp_ux_p0_permission_hardening_20260613.sql:173 | sql/erp_ux_p0_permission_hardening_20260613.sql:20 | sql/erp_ux_p0_permission_hardening_20260613.sql:35 | sql/erp_ux_p0_permission_hardening_20260613.sql:41,待核验
inv:product:remove,2,erp-ui/src/views/inventory/product/index.vue:165,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvProductController.java:89,,待核验
inv:purchase:add,14,erp-ui/src/views/inventory/purchase/index.vue:264 | erp-ui/src/views/inventory/purchase/index.vue:37 | erp-ui/src/views/inventory/purchase/index.vue:622 | erp-ui/src/views/mobile/feature/index.vue:415 | erp-ui/src/views/mobile/feature/index.vue:428 | erp-ui/src/views/mobile/feature/index.vue:443,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvPurchaseController.java:103 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvPurchaseController.java:113 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvPurchaseController.java:123 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvPurchaseController.java:133 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvPurchaseController.java:39 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvPurchaseController.java:50 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:168 | erp-modules/erp-system/src/main/java/com/erp/system/service/FrontendFeatureCatalog.java:74,,待核验
inv:purchase:export,4,erp-ui/src/views/inventory/purchase/index.vue:38 | erp-ui/src/views/mobile/feature/mobileExportConfigs.js:3,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvPurchaseController.java:230,sql/erp_inventory_permission_alignment_20260613.sql:20,待核验
inv:purchase:list,9,erp-ui/src/views/inventory/purchase/index.vue:35 | erp-ui/src/views/mobile/components/MobileWorkbenchShell.vue:271 | erp-ui/src/views/mobile/mobileNavigation.js:11,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvPurchaseController.java:72 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvPurchaseController.java:83 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:141 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:143 | erp-modules/erp-system/src/main/java/com/erp/system/service/FrontendFeatureCatalog.java:73,sql/erp_ux_p0_permission_hardening_20260613.sql:179,待核验
inv:purchase:qc,10,erp-ui/src/views/inventory/purchase/index.vue:491 | erp-ui/src/views/inventory/purchase/index.vue:607 | erp-ui/src/views/inventory/purchase/index.vue:627 | erp-ui/src/views/mobile/feature/index.vue:485,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvPurchaseController.java:165 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvPurchaseController.java:174 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvPurchaseController.java:187 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:141 | erp-modules/erp-system/src/main/java/com/erp/system/service/FrontendFeatureCatalog.java:76,sql/erp_inventory_permission_alignment_20260613.sql:18,待核验
inv:purchase:query,4,erp-ui/src/views/inventory/purchase/index.vue:612 | erp-ui/src/views/inventory/purchase/index.vue:620,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvPurchaseController.java:156 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvPurchaseController.java:94,,待核验
inv:purchase:receive,7,erp-ui/src/views/inventory/purchase/index.vue:375 | erp-ui/src/views/inventory/purchase/index.vue:608 | erp-ui/src/views/inventory/purchase/index.vue:626 | erp-ui/src/views/mobile/feature/index.vue:486,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvPurchaseController.java:143 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:143 | erp-modules/erp-system/src/main/java/com/erp/system/service/FrontendFeatureCatalog.java:75,,待核验
inv:purchase:remove,6,erp-ui/src/views/inventory/purchase/index.vue:624 | erp-ui/src/views/inventory/purchase/index.vue:628 | erp-ui/src/views/mobile/feature/index.vue:484 | erp-ui/src/views/mobile/feature/index.vue:487,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvPurchaseController.java:206 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvPurchaseController.java:218,,待核验
inv:purchase:submit,8,erp-ui/src/views/inventory/purchase/index.vue:265 | erp-ui/src/views/inventory/purchase/index.vue:610 | erp-ui/src/views/inventory/purchase/index.vue:623 | erp-ui/src/views/mobile/feature/index.vue:444 | erp-ui/src/views/mobile/feature/index.vue:483,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvPurchaseController.java:50 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvPurchaseController.java:61,sql/erp_inventory_permission_alignment_20260613.sql:16,待核验
inv:report:export,3,,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvReportController.java:70,sql/erp_inventory_report_export_permission_20260810.sql:16 | sql/erp_inventory_report_export_permission_20260810.sql:9,待核验
inv:report:list,14,erp-ui/src/router/index.js:236 | erp-ui/src/views/inventory/report/index.vue:101 | erp-ui/src/views/inventory/report/index.vue:44,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvReportController.java:35 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvReportController.java:46 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvReportController.java:57 | erp-modules/erp-system/src/main/java/com/erp/system/service/FrontendFeatureCatalog.java:87,sql/erp_inventory_permission_alignment_20260613.sql:10 | sql/erp_inventory_permission_alignment_20260613.sql:12 | sql/erp_inventory_report_export_permission_20260810.sql:12 | sql/erp_inventory_report_menu_20260612.sql:30 | sql/erp_inventory_report_menu_20260612.sql:8 | sql/erp_ux_p0_permission_hardening_20260613.sql:164 | sql/erp_ux_p0_permission_hardening_20260613.sql:182,待核验
inv:sales:add,7,erp-ui/src/views/inventory/sales/index.vue:209 | erp-ui/src/views/inventory/sales/index.vue:50 | erp-ui/src/views/inventory/sales/index.vue:77 | erp-ui/src/views/mobile/feature/index.vue:414 | erp-ui/src/views/mobile/feature/index.vue:427 | erp-ui/src/views/mobile/feature/index.vue:439,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvSalesController.java:32,,待核验
inv:sales:deliver,2,erp-ui/src/views/mobile/feature/index.vue:481,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvSalesController.java:75,,待核验
inv:sales:export,4,erp-ui/src/views/inventory/sales/index.vue:53 | erp-ui/src/views/mobile/feature/mobileExportConfigs.js:2,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvSalesController.java:93,sql/erp_inventory_permission_alignment_20260613.sql:24,待核验
inv:sales:list,9,erp-ui/src/views/inventory/sales/index.vue:46 | erp-ui/src/views/mobile/components/MobileWorkbenchShell.vue:262 | erp-ui/src/views/mobile/mobileNavigation.js:10,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvSalesController.java:50 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvSalesController.java:59 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:145 | erp-modules/erp-system/src/main/java/com/erp/system/service/FrontendFeatureCatalog.java:68,sql/erp_inventory_customer_service_card_20260713.sql:210 | sql/erp_ux_p0_permission_hardening_20260613.sql:178,待核验
inv:sales:query,2,erp-ui/src/views/inventory/sales/index.vue:76,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvSalesController.java:68,,待核验
inv:sales:remove,3,erp-ui/src/views/inventory/sales/index.vue:80 | erp-ui/src/views/mobile/feature/index.vue:482,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvSalesController.java:83,,待核验
inv:sales:submit,6,erp-ui/src/views/inventory/sales/index.vue:210 | erp-ui/src/views/inventory/sales/index.vue:78 | erp-ui/src/views/mobile/feature/index.vue:440 | erp-ui/src/views/mobile/feature/index.vue:480,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvSalesController.java:41,sql/erp_inventory_permission_alignment_20260613.sql:22,待核验
inv:stock:adjust,7,erp-ui/src/views/inventory/stock/index.vue:158 | erp-ui/src/views/inventory/stock/index.vue:306,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvStockController.java:73 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvStockController.java:86 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:168,sql/erp_inventory_stock_menu_split_20260607.sql:49 | sql/erp_multi_account_store_audit_remediation_20260620.sql:55,待核验
inv:stock:export,7,erp-ui/src/views/inventory/stock/index.vue:161 | erp-ui/src/views/inventory/stock/log.vue:62 | erp-ui/src/views/mobile/feature/mobileExportConfigs.js:4 | erp-ui/src/views/mobile/feature/mobileExportConfigs.js:5,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvStockController.java:110 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvStockController.java:122,sql/erp_inventory_stock_menu_split_20260607.sql:51,待核验
inv:stock:list,15,erp-ui/src/views/inventory/stock/index.vue:154 | erp-ui/src/views/inventory/stock/index.vue:199 | erp-ui/src/views/mobile/components/MobileWorkbenchShell.vue:263 | erp-ui/src/views/mobile/mobileNavigation.js:14 | erp-ui/src/views/mobile/mobileRouteDefinitions.js:269,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvMobileController.java:24 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvStockController.java:39 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvStockController.java:50 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvMobileServiceImpl.java:36 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:167 | erp-modules/erp-system/src/main/java/com/erp/system/service/FrontendFeatureCatalog.java:84,sql/erp_inventory_stock_menu_split_20260607.sql:15 | sql/erp_inventory_stock_menu_split_20260607.sql:26 | sql/erp_ux_p0_permission_hardening_20260613.sql:164 | sql/erp_ux_p0_permission_hardening_20260613.sql:181,待核验
inv:stock:log,10,erp-ui/src/router/index.js:222 | erp-ui/src/views/inventory/stock/index.vue:162 | erp-ui/src/views/inventory/stock/log.vue:60 | erp-ui/src/views/mobile/components/MobileWorkbenchShell.vue:283 | erp-ui/src/views/mobile/mobileNavigation.js:17 | erp-ui/src/views/mobile/mobileNavigation.js:30,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvStockController.java:98,sql/erp_inventory_stock_menu_split_20260607.sql:50 | sql/erp_ux_p0_permission_hardening_20260613.sql:157 | sql/erp_ux_p0_permission_hardening_20260613.sql:61,待核验
inv:stock:query,2,,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvStockController.java:63,sql/erp_inventory_stock_menu_split_20260607.sql:48,待核验
inv:supplier:add,3,erp-ui/src/views/inventory/supplier/index.vue:198 | erp-ui/src/views/inventory/supplier/index.vue:35,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvSupplierController.java:67,,待核验
inv:supplier:edit,4,erp-ui/src/views/inventory/supplier/index.vue:198 | erp-ui/src/views/inventory/supplier/index.vue:63 | erp-ui/src/views/inventory/supplier/index.vue:65,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvSupplierController.java:78,,待核验
inv:supplier:export,3,erp-ui/src/views/inventory/supplier/index.vue:36 | erp-ui/src/views/mobile/feature/mobileExportConfigs.js:10,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvSupplierController.java:101,,待核验
inv:supplier:list,7,erp-ui/src/views/inventory/supplier/index.vue:34 | erp-ui/src/views/mobile/components/MobileWorkbenchShell.vue:281 | erp-ui/src/views/mobile/mobileNavigation.js:29,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvMobileController.java:24 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvSupplierController.java:37 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvMobileServiceImpl.java:35 | erp-modules/erp-system/src/main/java/com/erp/system/service/FrontendFeatureCatalog.java:82,,待核验
inv:supplier:query,3,erp-ui/src/views/inventory/supplier/index.vue:62,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvSupplierController.java:47 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvSupplierController.java:56,,待核验
inv:supplier:remove,2,erp-ui/src/views/inventory/supplier/index.vue:77,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvSupplierController.java:89,,待核验
inv:transfer:add,19,erp-ui/src/views/inventory/transfer/index.vue:243 | erp-ui/src/views/inventory/transfer/index.vue:38 | erp-ui/src/views/inventory/transfer/index.vue:39 | erp-ui/src/views/mobile/feature/index.vue:419 | erp-ui/src/views/mobile/feature/index.vue:420 | erp-ui/src/views/mobile/feature/index.vue:431 | erp-ui/src/views/mobile/feature/index.vue:432 | erp-ui/src/views/mobile/feature/index.vue:459 | erp-ui/src/views/mobile/feature/index.vue:463,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvGiftCategoryController.java:31 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:160 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:172 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:188 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:200 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:212 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:166 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:168 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:335 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:336,,待核验
inv:transfer:approvalStartOutbox,7,,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferApprovalStartOutboxController.java:39 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferApprovalStartOutboxController.java:47 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferApprovalStartOutboxController.java:54,sql/erp_unified_approval_seed_20260716.sql:1012 | sql/erp_unified_approval_seed_20260716.sql:1015 | sql/erp_unified_approval_seed_20260716.sql:1042 | sql/erp_unified_approval_seed_20260716.sql:1043,待核验
inv:transfer:approve,29,erp-ui/src/views/approval/manage/components/RuleWizard.vue:250 | erp-ui/src/views/inventory/transfer/index.vue:1154 | erp-ui/src/views/inventory/transfer/index.vue:1170 | erp-ui/src/views/inventory/transfer/index.vue:1171 | erp-ui/src/views/inventory/transfer/index.vue:1172 | erp-ui/src/views/inventory/transfer/index.vue:470 | erp-ui/src/views/inventory/transfer/index.vue:476 | erp-ui/src/views/inventory/transfer/index.vue:482 | erp-ui/src/views/inventory/transfer/index.vue:542 | erp-ui/src/views/mobile/components/MobileWorkbenchShell.vue:266 | erp-ui/src/views/mobile/components/MobileWorkbenchShell.vue:275 | erp-ui/src/views/mobile/feature/index.vue:509 | erp-ui/src/views/mobile/feature/index.vue:510 | erp-ui/src/views/mobile/feature/index.vue:511 | erp-ui/src/views/mobile/mobileNavigation.js:22 | erp-ui/src/views/mobile/mobileRouteDefinitions.js:1129,erp-modules/erp-approval/src/main/java/com/erp/approval/service/ApprovalPermissionPolicy.java:14 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvMobileController.java:39 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:159 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:187 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:199 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:236 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:135,sql/erp_inventory_transfer_four_level_approval_20260713.sql:122 | sql/erp_inventory_transfer_four_level_approval_20260713.sql:72 | sql/erp_unified_approval_center_20260714.sql:1286 | sql/erp_unified_approval_center_20260714.sql:867 | sql/erp_unified_approval_center_20260714.sql:900 | sql/erp_unified_approval_seed_20260716.sql:848,待核验
inv:transfer:deliver,12,erp-ui/src/views/inventory/transfer/index.vue:1148 | erp-ui/src/views/inventory/transfer/index.vue:1175 | erp-ui/src/views/inventory/transfer/index.vue:570 | erp-ui/src/views/mobile/feature/index.vue:512,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:249 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:260 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:274 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:149,sql/erp_inventory_oe_replenishment_20260713.sql:123 | sql/erp_inventory_store_return_20260713.sql:94 | sql/erp_inventory_warehouse_transfer_menu_20260607.sql:36 | sql/erp_multi_account_store_audit_remediation_20260620.sql:56,待核验
inv:transfer:discrepancy:adjudicate,4,,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:359 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:370 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:383 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/domain/transfer/InvTransferReceiptDiscrepancyAdjudicationPolicy.java:24,,待核验
inv:transfer:discrepancy:execute,1,,erp-modules/erp-inventory/src/main/java/com/erp/inventory/domain/transfer/InvTransferReceiptDiscrepancyAdjudicationExecutionPolicy.java:23,,待核验
inv:transfer:discrepancy:handle,11,erp-ui/src/views/inventory/transfer/index.vue:1147 | erp-ui/src/views/inventory/transfer/index.vue:1177 | erp-ui/src/views/inventory/transfer/index.vue:453,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:341 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:350 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:401 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:153,sql/erp_inventory_transfer_discrepancy_20260713.sql:79 | sql/erp_inventory_transfer_discrepancy_20260713.sql:84 | sql/erp_inventory_transfer_discrepancy_20260713.sql:93 | sql/erp_inventory_transfer_discrepancy_20260713.sql:98,待核验
inv:transfer:edit,13,erp-ui/src/views/inventory/transfer/index.vue:1166 | erp-ui/src/views/inventory/transfer/index.vue:243 | erp-ui/src/views/mobile/feature/index.vue:431 | erp-ui/src/views/mobile/feature/index.vue:432 | erp-ui/src/views/mobile/feature/index.vue:459 | erp-ui/src/views/mobile/feature/index.vue:463,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:160 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:173 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:188 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:200 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:212 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:166 | erp-modules/erp-inventory/src/main/java/com/erp/inventory/service/impl/InvTodoServiceImpl.java:336,,待核验
inv:transfer:export,4,erp-ui/src/views/inventory/transfer/index.vue:40 | erp-ui/src/views/mobile/feature/mobileExportConfigs.js:15,erp-modules/erp-inventory/src/main/java/com/erp/inventory/controller/InvTransferController.java:453,sql/erp_inventory_warehouse_transfer_menu_20260607.sql:37,待核验
